Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
34,11444143,"Waleed Abujaish","2023-12-27 07:16:57",1.00000,3,waleedabujaish
35,9282512,"kaled hoshme","2023-12-23 16:30:05",0.99989,1,kaledhoshme
36,6911016,Shika_meow,"2023-11-24 12:52:44",0.99957,1,shikameow
37,11228548,AugustHl,"2023-11-11 14:53:50",0.99942,1,augusthl
38,11304285,我是潘志遠醫師，我姓賴,"2023-11-26 15:51:19",0.99914,1,dongdongxzoez
39,11379133,HoGenie,"2023-12-11 05:38:22",0.99910,1,hogenie
40,346469,Jankuper192,"2023-12-28 11:30:00",0.99907,3,jankuper192
41,10494090,"Sri Harsha Eedala","2023-12-28 21:03:53",0.99907,2,sriharshaeedala
42,11409485,TakamaruEX,"2023-12-28 06:07:45",0.99903,8,takamaruex
43,11363970,nosovdmitry008,"2023-12-07 14:44:11",0.99900,1,nosovdmitry008
44,11176212,"krittiwit  kampradam","2023-11-03 08:17:03",0.99892,4,krittiwitkampradam
45,11332776,kernel_bang,"2023-12-06 15:51:00",0.99882,5,kernelbang
46,11241794,Dragonlcl,"2023-11-14 09:28:48",0.99846,3,dragonlcl
47,11242094,mengdeli,"2023-11-14 10:15:05",0.99846,4,mengdeli
48,11404414,Null_wasTaken,"2023-12-22 14:07:28",0.99832,5,nullwastaken
49,11453409,"Ogunsola Idris","2023-12-30 00:38:16",0.99828,3,innerpeace0001
50,11304077,louis_wu1234,"2023-11-27 08:16:48",0.99814,2,siyangwu1234
51,11361543,Prostagmga,"2023-12-08 22:07:23",0.99800,6,prostagmga
52,11240329,"Cristhian Ccala H.","2023-11-26 02:22:01",0.99792,9,cristhianccalah
53,11335236,"rongkun liu","2023-12-03 06:50:41",0.99785,6,rongkunliu
54,11381954,Pranisha123,"2023-12-11 16:27:50",0.99785,1,pranisha123
55,11206613,"[Deleted] 586a0085-41af-4cf5-96ed-c2759f14cec7","2023-11-07 19:55:42",0.99735,1,del=46245eeb3c32a46d
56,11187262,"Andrea Villa","2023-11-04 13:55:52",0.99725,2,andrezaza
57,10271290,AkashSharmaDeep,"2023-11-26 20:24:15",0.99725,1,akashsharmadeep
58,11366610,cocokoala,"2023-12-08 04:46:54",0.99721,1,cocokoala
59,11073826,"Ziad Wael","2023-11-08 19:16:39",0.99710,1,ziadwael
60,11281351,"Soumyojit Sen","2023-12-02 11:31:53",0.99696,4,soumyojitsen2004
61,11291247,"YANG SHENGWEN","2023-11-24 11:14:27",0.99689,8,yangshengwen
62,10754596,OmarioVIC,"2023-12-22 07:18:09",0.99685,2,omariovic
63,10784019,cuneyterem8,"2023-11-07 13:16:32",0.99682,1,cuneyterem8
64,11234207,"Dinesh Jaliparthi","2023-11-18 05:50:09",0.99682,9,dineshjaliparthi
65,11283346,"Vanessa Wei","2023-11-23 12:51:29",0.99682,6,vanessawei726
66,11151059,"Michael DeVore","2023-11-11 02:53:14",0.99678,5,michaeldevore
67,11366281,"Kiyotaka Ohwada","2023-12-12 03:42:40",0.99675,4,kiyotakaohwada
68,11073501,"Paimon Likes Mora","2023-11-10 08:49:07",0.99660,1,paimonlikemora
69,10183633,"Theo Pomies","2023-12-06 16:51:09",0.99660,1,theopomies
70,11379035,-falsehood,"2023-12-11 05:28:21",0.99657,2,falsehood
71,11395186,"Sherlock Holmes on Case","2023-12-14 18:20:20",0.99657,1,sherlockholmesoncase
72,11103103,Matcha7,"2023-11-10 03:32:05",0.99642,7,matcha7
73,11226401,ZHU_Bin,"2023-11-11 03:35:39",0.99642,1,onemuzi
74,9135926,"mouad berqia","2023-12-20 17:30:54",0.99642,1,mouadberqia
75,11424767,qiancaijuan,"2023-12-25 03:18:45",0.99639,2,qiancaijuan
76,11379058,NaChangGyun,"2023-12-11 05:16:22",0.99635,1,nachanggyun
77,11358496,Yin.Mengjiao,"2023-12-06 17:26:31",0.99625,2,jojoyin
78,11219273,Mixolydianist,"2023-11-11 17:53:00",0.99614,12,mixolydianist
79,11322310,"Michelle P","2023-12-04 23:07:06",0.99614,3,msylpark
80,11437510,星星点灯,"2023-12-25 10:16:42",0.99607,5,starlightii
81,11233601,"Piotr Kozlowski","2023-11-25 20:36:52",0.99603,9,piotrkoz
82,11352010,PrimalCat,"2023-12-05 14:36:39",0.99603,1,primalcat
83,10885796,AnthonyTherrien,"2023-12-16 06:52:00",0.99600,10,anthonytherrien
84,10229268,"Leonhard Piff","2023-11-22 17:14:28",0.99596,4,leonhardpiff
85,11223635,"Pranay Jain","2023-11-10 14:33:27",0.99592,2,pranayjain576
86,5148896,"Andrey Gusev","2023-11-13 15:40:44",0.99589,1,andreygusev
87,11170597,MariyaPit,"2023-11-16 16:23:28",0.99589,11,mariyapit
88,11425277,Cowbadam5566,"2023-12-22 08:39:38",0.99589,6,cowbadam5566
89,11396779,Zipklas,"2023-12-22 23:46:53",0.99589,5,zipklas
90,11335682,"Mikhail Chumakov","2023-12-02 19:03:13",0.99585,1,mikhailchumakov
91,11238979,"[Deleted] 11aa31a5-e6bb-4a79-a6b4-9900627ab60a","2023-11-13 22:48:53",0.99582,2,del=fe33c99f0c8a6bd3
92,11369481,Svet12332,"2023-12-08 17:29:37",0.99578,1,svet12332
93,11328640,BIGWangxxxxx,"2023-12-07 13:00:55",0.99575,6,bigwangxxxxx
94,11427558,zy_newbie,"2023-12-22 00:16:12",0.99575,1,zynewbie
95,11439916,Tonyert,"2023-12-28 03:07:02",0.99575,8,tonyert
96,11265306,dmytroyyakovenko,"2023-11-18 18:27:02",0.99571,1,ymytroyakovenko
97,11420124,"Chen ABei","2023-12-22 05:17:23",0.99571,12,chenabei0421
98,11228660,YarikBench,"2023-11-11 15:26:03",0.99564,1,yarikbench
99,11382919,iMatei,"2023-12-11 21:39:41",0.99564,1,mateiia
100,11403380,xiajun2001,"2023-12-16 14:48:02",0.99564,3,xiajun2001
101,11414020,王旭,"2023-12-20 08:44:26",0.99564,2,lihuadis
102,11428172,shinan66,"2023-12-22 05:35:05",0.99564,1,shinan66
103,11223094,new_zhong,"2023-11-11 06:50:18",0.99560,4,newzhong
104,11227423,yuguoliu2,"2023-11-11 09:25:56",0.99560,4,yuguoliu2
105,11262912,"Soe T. Ko","2023-11-21 12:56:56",0.99560,6,soetko
106,11209989,glacierZhou,"2023-11-12 02:47:22",0.99557,17,glacierzhou
107,9479056,"Mateo Juliani","2023-11-17 16:11:56",0.99557,1,mjulianimsj75
108,7266579,"Shivam Chhetry","2023-12-06 10:01:39",0.99557,2,shivamkc3
109,10670675,hi210278,"2023-12-18 02:39:17",0.99557,3,hi210278
110,11387020,Alexeom123,"2023-12-12 16:42:30",0.99557,1,alexeom123
111,11250165,"Amna Ikram","2023-11-21 20:53:32",0.99553,15,drkaggle22
112,11424651,cxgh68,"2023-12-21 08:09:13",0.99550,2,cxgh68
113,10647842,pavithra,"2023-11-06 06:15:52",0.99546,1,rainrein
114,11423835,"Cowbad Chen","2023-12-22 08:00:30",0.99546,10,cowbadma
115,11093363,"Vamshi Krishna 0702","2023-10-31 23:07:23",0.99542,4,vamshi0702
116,11228776,"Christopher Burke","2023-11-11 15:58:58",0.99542,1,cburke716
117,716671,"Naruhiko Nakanishi","2023-12-25 10:14:09",0.99539,17,grapestone5321
118,11190857,HeFeng-SHU-CN,"2023-11-05 10:12:01",0.99539,1,hefenggo
119,11224247,"Vianna Gu","2023-11-11 09:35:54",0.99539,3,viannagu
120,10825846,LouBl00m,"2023-12-03 16:15:34",0.99535,3,loubl00m
121,11265696,"George M Gannon","2023-11-18 21:48:00",0.99532,2,georgemgannon
122,9862275,"Mateusz Kowalczyk","2023-11-07 20:48:32",0.99528,1,mateuszk013
123,11390831,"Denisc Dxrm","2023-12-13 13:46:32",0.99528,1,deniscdxrm
124,6294344,Catadanna,"2023-12-27 03:16:14",0.99525,2,catadanna
125,11363264,"Ilya Yershov","2023-12-11 18:59:40",0.99521,2,ilyayershov
126,10835924,"Amir Hosein Sedaghati","2023-11-13 09:24:24",0.99517,1,amirhoseinsedaghati
127,11351534,"Ido Rosiner","2023-12-05 15:41:00",0.99517,2,idorosiner
128,11196142,"Shi Yonghao3","2023-11-06 10:30:56",0.99514,1,shiyonghao3
129,11226538,"Gina Chao","2023-11-11 04:21:11",0.99514,1,ginachao
130,11210314,QIUQIUw,"2023-11-12 01:01:08",0.99514,9,qiuqiuw
131,11270244,"Shalakha Gupta #2","2023-11-21 00:52:04",0.99514,6,shalakhagupta
132,11272073,Bujide,"2023-11-20 09:46:34",0.99510,2,bujide
133,11350676,HEGY,"2023-12-05 10:18:39",0.99510,1,h2721925525
134,11355339,"XL Ren","2023-12-06 06:15:04",0.99510,1,rxlatsh
135,11174927,zhanghao1108,"2023-11-02 12:09:58",0.99507,1,zhanghao1108
136,2844357,"Heads or Tails","2023-11-10 19:43:38",0.99507,1,headsortails
137,11232492,"Abhishek Vidhate","2023-11-16 17:47:51",0.99507,7,abhishekvdev2099
138,11183283,"[Deleted] 3f1facf3-81c5-4dcb-bcbf-2629d846fd08","2023-11-03 15:41:03",0.99500,1,del=fb735469133dc959
139,11227058,dtc0606,"2023-11-11 07:22:20",0.99500,1,dtc0606
140,11342898,zhehao777,"2023-12-04 08:21:43",0.99500,1,zhehao777
141,11218673,"Zixin Gao","2023-11-12 12:16:08",0.99496,10,zixingao
142,11211344,"Valentyn Prokopchenko","2023-11-08 11:29:23",0.99492,1,valentynprokopchenko
143,11389520,JinqiWang726,"2023-12-13 08:19:33",0.99492,3,jinqiwang726
144,11431247,BAHbKA,"2023-12-23 03:08:17",0.99489,1,bahbka
145,11204557,HuangLinWen,"2023-11-07 14:39:17",0.99482,1,huanglinwen
146,10901112,citcit2929,"2023-11-08 05:54:19",0.99482,4,ci4t10
147,11281182,"Ryan Smith","2023-11-21 20:53:46",0.99482,1,ryanasmith
148,10136364,Elianes,"2023-11-23 21:06:40",0.99482,1,elianes
149,11353211,"Slobodian Nataliia","2023-12-05 20:33:12",0.99482,2,slobodiannataliia
150,11315498,hositnga,"2023-11-28 15:59:50",0.99478,1,hositnga
151,11215350,"[Deleted] e0dd3163-d2f9-42f3-8ffa-5e4bc867d90b","2023-11-09 03:57:31",0.99475,5,del=eceaafde306949a6
152,11216763,aplornge,"2023-11-09 08:42:24",0.99475,1,aplornge
153,11367731,"Baoqiang Gao","2023-12-15 16:42:05",0.99475,4,luckyez
154,11408525,MykytaRatyshnyi,"2023-12-18 04:36:28",0.99471,1,mykytaratyshnyi
155,11210434,sunkai_0806,"2023-11-08 08:20:14",0.99467,1,sunkai0806
156,11373378,"Alexandre Le Mercier","2023-12-09 18:17:22",0.99467,1,alexandrelemercier
157,11308316,"Aly Mohamed","2023-11-30 17:23:21",0.99464,4,alymohamedd
158,11350912,QHua768,"2023-12-05 11:10:27",0.99464,1,qhua768
159,11275264,"Ranny Lay","2023-11-20 19:09:27",0.99460,1,rannylay
160,11400136,ayouuu,"2023-12-15 15:16:03",0.99460,1,ayouuu
161,11307562,"Mark Kostantine","2023-11-27 08:46:44",0.99457,1,markkostantine
162,11359483,Vladimir221,"2023-12-06 22:38:53",0.99457,1,vladimir221
163,11165580,askbox,"2023-11-03 01:10:43",0.99453,7,askboxnet
164,11359242,EsdesuAGK,"2023-12-06 20:56:38",0.99450,1,esdesuagk
165,11388688,jellyfish9c,"2023-12-13 06:40:05",0.99446,2,jellyfish9c
166,11395891,Arkadiy13,"2023-12-14 15:17:38",0.99446,1,arkadiy13
167,11341986,cccycym,"2023-12-05 08:01:23",0.99442,2,cccycym
168,11400970,der-knight,"2023-12-16 03:08:46",0.99442,2,derknight
169,11146173,Ch_Help,"2023-11-04 08:57:51",0.99432,1,chhelp
170,11260876,"I am the Walrus","2023-11-17 20:41:14",0.99432,5,mattkatz
171,11282159,"Mahim Mathur","2023-11-22 02:59:33",0.99425,2,mahimmathur
172,11324008,"trying to be cool","2023-11-30 08:04:47",0.99425,4,tryingtobecool
173,11330525,zhangwenyuan1,"2023-12-01 13:49:00",0.99425,1,zhangwenyuan1
174,11424997,"Labib Adyavit","2023-12-21 09:13:27",0.99425,1,labibadyavit
175,11246079,SPhongyi,"2023-11-21 08:18:40",0.99421,12,sphongyi
176,11310075,"Zohir Rayhan Jihan","2023-11-27 18:17:44",0.99417,5,zohirrayhanjihan
177,11382290,minheejang,"2023-12-11 19:22:16",0.99417,5,minheejang
178,10597551,"Ilia Tetin","2023-12-19 16:17:58",0.99417,12,tetinia
179,11264593,"Jainendra Dwivedi","2023-11-18 17:57:54",0.99414,2,jainendradwivedi
180,11413351,codeminem,"2023-12-19 06:07:19",0.99414,1,codeminem
181,11212752,"[Deleted] 91d7a24d-ffc7-4c77-aacf-3d9ecc093550","2023-11-08 15:42:50",0.99410,1,del=cc36c5befd0a59b7
182,11359221,"Erin Fetsch","2023-12-07 19:23:58",0.99410,8,erinfetsch
183,11364378,"Vladislav Tomin","2023-12-07 16:22:46",0.99410,1,vladislavtomin
184,869168,"Daniel Ulery","2023-12-19 22:49:07",0.99410,13,danielulery
185,11184455,ArchMikhail,"2023-12-01 19:29:09",0.99407,7,archmikhail
186,11414169,"J fewas","2023-12-19 09:01:32",0.99403,1,jfewas
187,11414897,chanyama,"2023-12-19 12:41:39",0.99403,3,chanyama
188,11142553,"shane gerami","2023-11-01 19:42:37",0.99396,1,shanegerami
189,11407414,gucciGacci,"2023-12-17 19:55:53",0.99392,1,guccigacci
190,11140247,"Aakash Kumar Singh","2023-11-07 10:58:01",0.99389,6,akscodes
191,11217691,hahahahaha9,"2023-11-09 12:11:13",0.99389,1,hahahahaha9
192,11211062,LKeren,"2023-11-08 10:27:57",0.99385,1,lkeren
193,11226947,BysanZ,"2023-11-11 06:47:13",0.99385,1,bysanz
194,11265550,"Rascanu Dragos","2023-11-18 20:05:43",0.99385,1,rascanudragos
195,11387664,"Dan Harris","2023-12-13 00:03:27",0.99385,6,danharris97
196,11412155,NBPub,"2023-12-20 00:41:36",0.99385,2,ndfgsdfg
197,11216638,"Chou Runze","2023-11-10 05:12:40",0.99382,5,chourunze
198,11410681,"Siddhu Neehal","2023-12-19 06:22:09",0.99382,3,siddhuneehal
199,11452720,Aliiii3,"2023-12-29 15:43:16",0.99382,1,aliiii3
200,11324273,loanas,"2023-11-30 07:45:32",0.99378,1,loanas
201,11408920,shuiyongmnig1,"2023-12-18 06:46:42",0.99378,1,shuiyongmnig1
202,402181,HugoN,"2023-12-19 00:32:49",0.99378,1,the1and0nly
203,11446553,Owen06,"2023-12-28 13:55:58",0.99378,4,owen06
204,11330905,"Jessica Chen","2023-12-02 02:29:55",0.99375,3,jessixin
205,11435384,"Ilya Skobelev","2023-12-25 11:28:02",0.99375,4,ilyaskobelev
206,11282004,Uuganbayer1,"2023-11-22 04:31:22",0.99364,3,uuganbayer1
207,11323250,PTkewei,"2023-12-05 07:09:04",0.99364,10,ptkewei
208,11357879,RKCP0219,"2023-12-06 15:05:07",0.99364,1,rkcp0219
209,11355029,"Ka Chun PANG","2023-12-07 04:29:12",0.99364,7,rickypang
210,11368467,"Nazim Cherpanov","2023-12-18 11:02:22",0.99360,7,nazimcherpanov
211,10570707,"Julien Baumgartner","2023-11-29 22:44:44",0.99357,2,julienbaumgartner
212,11410710,"Philipp Gärtner","2023-12-19 18:26:55",0.99357,3,philippgaertner
213,11347019,qwvexvqw,"2023-12-04 22:24:26",0.99350,1,qwvexvqw
214,11383702,"Brendan Tan","2023-12-12 11:59:35",0.99350,2,brendantan12
215,11452636,"Hubert Sidorowicz","2023-12-29 15:14:33",0.99350,1,hubertsidorowicz
216,11150273,FlorianHofer1,"2023-11-14 14:37:10",0.99346,7,florianhofer1
217,11251404,Ashis@CUDenver,"2023-11-16 04:23:03",0.99346,2,ashiskb
218,11269336,"Valor Balorbus","2023-11-20 04:36:43",0.99346,3,valorbalorbus
219,11310046,"Reuben rk","2023-12-01 13:33:15",0.99342,10,reubenrk
220,11383373,"Tanner Cabaniss","2023-12-12 01:02:11",0.99339,1,tannercabaniss
221,11381350,Z1YueCC,"2023-12-11 14:10:01",0.99335,1,z1yuecc
222,11397982,"Nirdesh Sharma","2023-12-16 09:01:42",0.99335,10,nirdeshsharma
223,11411238,EliasYac,"2023-12-18 16:44:50",0.99335,1,eliasyac
224,11376595,Aleksandr02,"2023-12-15 11:29:47",0.99332,9,aleksandr02
225,11446965,WY926494,"2023-12-28 02:25:36",0.99332,5,wy926494
226,11328833,"big green tea","2023-12-01 06:17:54",0.99328,1,drinktea30
227,11243220,"Ankit Dutta","2023-11-14 13:45:02",0.99325,1,ankitd7752
228,11331555,"Daniel Popov","2023-12-04 06:14:30",0.99325,7,danielpopov
229,11404871,guoguoqing,"2023-12-17 05:53:39",0.99325,3,guoguoiqngzk
230,11350055,huanghongtao,"2023-12-05 11:01:57",0.99321,2,huanghongtao
231,9626705,Libra-Yzl,"2023-12-07 13:04:07",0.99321,2,librayzl
232,11190377,"yuting hua","2023-11-06 11:18:54",0.99317,2,yutinghua
233,11369045,Yuxinhan111,"2023-12-10 12:46:34",0.99317,2,yuxinhan111
234,11376734,gjl2802427218,"2023-12-12 03:10:28",0.99317,11,gjl2802427218
235,11380515,guojiaran,"2023-12-16 05:06:27",0.99317,10,guojiaran
236,11407860,liaokunyu,"2023-12-18 00:53:07",0.99317,1,liaokunyu
237,11439800,"Evgenii Kulik","2023-12-26 08:24:39",0.99317,3,evgeniikulik
238,11451744,陈军旭,"2023-12-29 10:11:02",0.99317,1,cjx123
239,11095659,"Taichi Uemura","2023-11-23 07:55:56",0.99314,3,taichiuemura
240,11358254,Jelly_Zh,"2023-12-06 17:09:17",0.99314,4,jellyzh
241,11179676,"Jack Toncelli","2023-11-03 03:45:09",0.99310,1,jacktoncelli
242,11357778,AndrewMaged11,"2023-12-06 14:43:41",0.99310,1,andrewmaged11
243,10650038,CJ1234567890,"2023-12-10 14:09:14",0.99310,3,cj1234567890
244,10439201,immhj-go,"2023-12-15 09:42:11",0.99310,1,immhjgo
245,11366541,senlinji,"2023-12-08 04:20:11",0.99307,1,senlinji
246,11080961,DOLBANYLPOKLAVE_DEV,"2023-12-18 18:12:49",0.99307,1,dolbanylpoklavedev
247,11357735,beyondzc,"2023-12-06 14:48:28",0.99303,2,beyondzc
248,11378865,kimdoyeop_code,"2023-12-11 04:57:06",0.99303,1,kimdoyeopcode
249,9106794,"Mukhriddin Khaydarov","2023-11-30 14:20:31",0.99300,4,muhriddinmalik
250,11365489,"Fernando J. O. Souza","2023-12-07 22:42:40",0.99300,2,fernandojosouza
251,11222449,"Sai Gokul Atmakur","2023-11-10 09:04:20",0.99296,1,saigokulatmakur
252,11348391,"Péricles Buarque","2023-12-06 00:22:50",0.99289,6,priclesbuarque
253,11347968,"JORGE ALEXANDRE DE ARAÚJO","2023-12-05 23:32:05",0.99289,4,jorgealexandre
254,11381190,"ko kyeong wook","2023-12-11 15:23:30",0.99285,5,kokyeongwook
255,11441153,WeGett,"2023-12-28 01:23:27",0.99285,2,wegett
256,11325538,MXH2023110187,"2023-12-29 00:03:16",0.99285,5,mxh2023110187
257,11274663,"Sharon Grace Hangaan","2023-11-20 16:47:57",0.99282,1,sharongracehangaan
258,11240088,"Yusheng Lei","2023-12-07 05:32:41",0.99282,2,yushenglei
259,11405977,"Olavo Melo","2023-12-27 14:38:24",0.99282,9,olavomelo
260,11361874,Tecutlonika,"2023-12-07 08:43:16",0.99278,2,tecutlonika
261,10719588,"Sunwoo Yoo","2023-12-21 19:38:51",0.99275,13,usunwoo
262,11419664,zhangdui,"2023-12-20 08:57:24",0.99275,1,zhangdui
263,11346862,Periclesbgf,"2023-12-06 00:22:09",0.99271,11,periclesbgf
264,11435602,"Васин Максим","2023-12-24 14:33:58",0.99271,1,ninjasalto
265,11275665,JG,"2023-11-22 01:01:43",0.99267,4,jimmybunter01
266,11342462,AyanamiRei1,"2023-12-04 07:03:23",0.99267,1,ayanamirei1
267,11433326,"T1 Gumayusi","2023-12-23 18:11:26",0.99267,1,t1gumayusi
268,11416752,"Batoul Zaraket","2023-12-19 20:26:52",0.99264,1,batoulzaraket
269,11428078,yungchopps,"2023-12-22 20:51:46",0.99264,3,yungchopps
270,11433671,"subham kumar #2","2023-12-23 21:41:20",0.99264,2,subh700454
271,11252472,JunsuJeong,"2023-11-20 08:56:37",0.99260,7,junsujeong
272,11178958,"Ashleigh Bick-Dawes","2023-11-17 01:11:27",0.99260,15,ashleighbickdawes
273,9686632,"Pedro Amavizca","2023-11-21 21:40:31",0.99257,1,pedroamavizca
274,9186115,"Mikołaj Hojda","2023-11-28 11:34:16",0.99257,17,mikolajhojda
275,11441355,s110015,"2023-12-27 11:49:39",0.99257,9,s110015
276,11109185,"Silver Joyce","2023-12-27 21:22:54",0.99253,1,johnmicrosan
277,11222628,"William Pradier","2023-11-12 17:48:20",0.99250,2,williampradier
278,11241016,"Sheikh Uddin","2023-11-14 07:03:07",0.99250,1,sheikhuddin
279,8964669,uraninjo,"2023-12-14 15:53:00",0.99250,1,uraninjo
280,11396000,"Yuksel Eren Sen","2023-12-14 15:53:27",0.99250,1,yukselerensen
281,11399632,wsl2023110198,"2023-12-15 12:53:35",0.99250,1,wsl2023110198
282,11400255,VRX_2314,"2023-12-21 16:38:24",0.99250,5,vrx2314
283,10600701,"Philipp Kemmerer","2023-11-26 21:43:18",0.99246,1,philippkemmerer
284,8377266,motoxa_1007,"2023-12-01 01:47:58",0.99246,1,motoxa1007
285,11381827,mh33445,"2023-12-11 16:40:50",0.99246,5,mh33445
286,11239823,"UTK COSC 523 Fall'23 - Team10","2023-11-21 21:59:53",0.99242,4,oscarhuerta
287,11286670,"Immortal cyborg","2023-11-22 19:39:51",0.99242,1,immortalcyborg
288,11218687,GiorgosMaragkopoulos,"2023-11-11 13:01:39",0.99239,11,giorgosmaragkopoulos
289,11379877,jang.mh,"2023-12-11 15:29:15",0.99239,5,jangmh
290,11411232,"Talha Eryasar","2023-12-18 16:42:54",0.99239,1,talhaeryasar
291,11291944,"Gabriel Portelli","2023-11-30 14:55:57",0.99235,5,gabrielportelli214
292,2437026,andywu1996,"2023-12-14 08:08:50",0.99235,13,andywu1996
293,11188308,"Lauren Schmiedeler","2023-11-04 17:03:05",0.99232,2,leschmiedeler
294,11176611,"Alexey Voronin","2023-11-05 01:29:54",0.99228,17,avoronin
295,11217682,Ron_Mmy,"2023-11-09 12:09:12",0.99228,1,ronmmy
296,11333539,DSMeena,"2023-12-10 12:14:57",0.99228,2,dsmeena
297,11449193,JacXis,"2023-12-29 16:46:23",0.99228,4,jacxis
298,11290249,lss666,"2023-11-23 12:44:59",0.99225,2,lss666
299,11305248,"Prashant Tiwari","2023-11-26 21:44:33",0.99225,4,prashant4199
300,10519965,"The Rebbe","2023-12-05 11:08:37",0.99225,1,therebbe
301,11380179,kwjubg,"2023-12-11 10:13:18",0.99225,3,kwjubg
302,8845923,jvachier,"2023-12-27 18:20:24",0.99225,1,jvachier
303,10820282,"Ahmed El-Ashry","2023-11-29 08:07:21",0.99221,1,ahmedelashrybdm
304,10953027,SuryaSiriki1,"2023-12-19 04:50:25",0.99221,3,suryasiriki1
305,11440525,Masahito_Sakaguchi,"2023-12-26 09:08:55",0.99217,3,masahitosakaguchi
306,11344457,GONGJUNGSU,"2023-12-06 12:04:05",0.99214,10,gongjungsu
307,10977300,LileASnob,"2023-12-06 11:48:52",0.99214,17,lileasnob
308,11064483,"Cleyton Candeira","2023-11-01 20:10:30",0.99210,1,cleytoncandeira
309,11203913,"Kyryl Shy","2023-11-08 12:25:34",0.99210,9,kyrylshy
310,11258584,"steamed bread","2023-11-17 09:26:36",0.99210,1,steamedbread
311,11417803,oliviacane,"2023-12-22 06:57:03",0.99210,5,oliviamarilyn
312,10344887,"Yasitha Kavishka ","2023-11-07 18:15:04",0.99207,1,yasithakavishka
313,11243785,"Michael Holloway","2023-11-14 15:42:10",0.99207,1,tzu3344
314,9484697,"Zoe Chuyue Wu","2023-12-01 18:51:19",0.99207,2,chuyuewu
315,11395446,PC.Tone,"2023-12-14 13:27:03",0.99207,1,pctone
316,11430459,"Rudra Shah","2023-12-22 19:22:51",0.99207,5,sciencelabwork
317,11233103,"Quinn Avila","2023-11-12 20:59:21",0.99203,5,quinnavila
318,11256308,ryoma16,"2023-11-16 22:37:36",0.99203,4,ryomaryoma16
319,10668477,"benjamin choi","2023-11-07 08:16:28",0.99200,1,bongseok9999
320,11440490,"Maehashi Tatsuya","2023-12-26 08:10:22",0.99200,4,maehashitatsuya
321,11223079,winky411,"2023-11-11 07:41:53",0.99196,4,winky411
322,10868411,jergls,"2023-11-22 17:22:45",0.99196,14,jergls
323,11199571,"chakra guy","2023-11-06 21:31:21",0.99192,1,chakraguy
324,11348805,Periclesf,"2023-12-05 21:04:16",0.99192,5,periclesf
